x1,x2,y1,y2
-0.871,-0.0968,47.05902226,76.34295896
-0.871,-0.0646,47.16135064,74.75295348
-0.871,-0.0322,47.25698896,73.11535562
-0.871,0,47.3447565,71.45038262
-0.871,0.0322,47.42526616,69.74804191
-0.871,0.0646,47.49895024,67.99741107
-0.871,0.0968,47.56489906,66.22010283
-0.871,0.129,47.62359,64.40542688
-0.871,0.1612,47.67502306,62.55338322
-0.871,0.1936,47.71944994,60.65211959
-0.871,0.2258,47.75632216,58.7251084
-0.871,0.258,47.7859365,56.7607295
-0.871,0.2904,47.80840914,54.7464329
-0.871,0.3226,47.82346264,52.70708648
-0.871,0.3548,47.83125826,50.63037234
-0.871,0.387,47.831796,48.51629048
-0.871,0.4194,47.82501144,46.3513611
-0.871,0.4516,47.81098834,44.16231172
-0.871,0.4838,47.78970736,41.93589463
-0.871,0.5162,47.76096856,39.65793228
-0.871,0.5484,47.72512674,37.35654766
-0.871,0.5806,47.68202704,35.01779532
-0.871,0.613,47.631334,32.6268
-0.871,0.6452,47.57367346,30.21308014
-0.871,0.6774,47.50875504,27.76199257
-0.871,0.7096,47.43657874,25.27353729
-0.871,0.742,47.3566285,22.73190918
-0.871,0.7742,47.26989136,20.16848637
-0.871,0.8064,47.17589634,17.56769585
-0.871,0.8388,47.07399186,14.91303477
-0.871,0.871,46.965436,12.23727672
-0.871,0.9032,46.84962226,9.524150959
-0.871,0.9354,46.72655064,6.773657485
-0.871,0.9678,46.59538896,3.968363619
-0.871,1,46.4577565,1.14290262
-0.8388,-1,41.52105096,105.9119437
-0.8388,-0.9678,41.8238501,105.3824087
-0.8388,-0.9354,42.12120434,104.811868
-0.8388,-0.9032,42.40944264,104.2073654
-0.8388,-0.871,42.69042306,103.5654951
-0.8388,-0.8388,42.9641456,102.8862571
-0.8388,-0.8064,43.23224264,102.1650837
-0.8388,-0.7742,43.49140434,101.4108782
-0.8388,-0.742,43.74330816,100.6193049
-0.8388,-0.7096,43.98945096,99.78509848
-0.8388,-0.6774,44.22679394,98.91855771
-0.8388,-0.6452,44.45687904,98.01464923
-0.8388,-0.613,44.67970626,97.07337303
-0.8388,-0.5806,44.89659186,96.08853382
-0.8388,-0.5484,45.10485824,95.0722901
-0.8388,-0.5162,45.30586674,94.01867866
-0.8388,-0.4838,45.5007981,92.92080648
-0.8388,-0.4516,45.68724576,91.79222752
-0.8388,-0.4194,45.86643554,90.62628085
-0.8388,-0.387,46.03941266,89.41537569
-0.8388,-0.3548,46.2040416,88.17446149
-0.8388,-0.3226,46.36141266,86.89617958
-0.8388,-0.2904,46.51152584,85.58052996
-0.8388,-0.258,46.65524576,84.21899201
-0.8388,-0.2258,46.7907981,82.82837486
-0.8388,-0.1936,46.91909256,81.40039
-0.8388,-0.1612,47.04085824,79.92581908
-0.8388,-0.129,47.15459186,78.4228667
-0.8388,-0.0968,47.2610676,76.8825466
-0.8388,-0.0646,47.36028546,75.30485878
-0.8388,-0.0322,47.45279394,73.67965508
-0.8388,0,47.53745096,72.02699974
-0.8388,0.0322,47.6148501,70.33697669
-0.8388,0.0646,47.68540434,68.59874002
-0.8388,0.0968,47.74824264,66.83374944
-0.8388,0.129,47.80382306,65.03139114
-0.8388,0.1612,47.8521456,63.19166514
-0.8388,0.1936,47.89344264,61.30279568
-0.8388,0.2258,47.92720434,59.38810215
-0.8388,0.258,47.95370816,57.43604091
-0.8388,0.2904,47.97305096,55.43413848
-0.8388,0.3226,47.98499394,53.40710971
-0.8388,0.3548,47.98967904,51.34271323
-0.8388,0.387,47.98710626,49.24094903
-0.8388,0.4194,47.97719186,47.08841382
-0.8388,0.4516,47.96005824,44.9116821
-0.8388,0.4838,47.93566674,42.69758266
-0.8388,0.5162,47.9037981,40.43201448
-0.8388,0.5484,47.86484576,38.14294752
-0.8388,0.5806,47.81863554,35.81651285
-0.8388,0.613,47.76481266,33.43791169
-0.8388,0.6452,47.7040416,31.03650949
-0.8388,0.6774,47.63601266,28.59773958
-0.8388,0.7096,47.56072584,26.12160196
-0.8388,0.742,47.47764576,23.59236801
-0.8388,0.7742,47.3877981,21.04126286
-0.8388,0.8064,47.29069256,18.45279
-0.8388,0.8388,47.18565824,15.81052308
-0.8388,0.871,47.07399186,13.1470827
-0.8388,0.9032,46.9550676,10.4462746
-0.8388,0.9354,46.82888546,7.70809878
-0.8388,0.9678,46.69459394,4.915199081
-0.8388,1,46.55385096,2.102055741
-0.8064,-1,41.80481664,106.1026675
-0.8064,-0.9678,42.10448594,105.5855266
-0.8064,-0.9354,42.3986909,105.0274571
-0.8064,-0.9032,42.68379936,104.4353487
-0.8064,-0.871,42.96164994,103.8058726
-0.8064,-0.8388,43.23224264,103.1390287
-0.8064,-0.8064,43.4971904,102.4303264
-0.8064,-0.7742,43.75322226,101.688515
-0.8064,-0.742,44.00199624,100.909336
-0.8064,-0.7096,44.24498976,100.0876007
-0.8064,-0.6774,44.4792029,99.23345409
-0.8064,-0.6452,44.70615816,98.34193977
-0.8064,-0.613,44.92585554,97.41305774
-0.8064,-0.5806,45.13959186,96.44068968
-0.8064,-0.5484,45.3447284,95.43684012
-0.8064,-0.5162,45.54260706,94.39562286
-0.8064,-0.4838,45.73438914,93.31022182
-0.8064,-0.4516,45.91770696,92.19403703
-0.8064,-0.4194,46.0937669,91.04048452
-0.8064,-0.387,46.26359474,89.84205051
-0.8064,-0.3548,46.42509384,88.61353048
-0.8064,-0.3226,46.57933506,87.34764274
-0.8064,-0.2904,46.7263184,86.04438728
-0.8064,-0.258,46.86688904,84.69532048
-0.8064,-0.2258,46.99931154,83.3170975
-0.8064,-0.1936,47.12447616,81.9015068
-0.8064,-0.1612,47.24309256,80.43940704
-0.8064,-0.129,47.35369634,78.94884882
-0.8064,-0.0968,47.45704224,77.42092288
-0.8064,-0.0646,47.55313026,75.85562923
-0.8064,-0.0322,47.64248946,74.24289668
-0.8064,0,47.72401664,72.60263551
-0.8064,0.0322,47.79828594,70.92500662
-0.8064,0.0646,47.8656909,69.1992411
-0.8064,0.0968,47.92539936,67.44664468
-0.8064,0.129,47.97784994,65.65668056
-0.8064,0.1612,48.02304264,63.82934872
-0.8064,0.1936,48.0611904,61.95295041
-0.8064,0.2258,48.09182226,60.05065105
-0.8064,0.258,48.11519624,58.11098397
-0.8064,0.2904,48.13138976,56.12155269
-0.8064,0.3226,48.1402029,54.10691809
-0.8064,0.3548,48.14175816,52.05491577
-0.8064,0.387,48.13605554,49.96554574
-0.8064,0.4194,48.12299186,47.82548168
-0.8064,0.4516,48.1027284,45.66114412
-0.8064,0.4838,48.07520706,43.45943886
-0.8064,0.5162,48.04018914,41.20634182
-0.8064,0.5484,47.99810696,38.92966903
-0.8064,0.5806,47.9487669,36.61562852
-0.8064,0.613,47.89179474,34.24949851
-0.8064,0.6452,47.82789384,31.86049048
-0.8064,0.6774,47.75673506,29.43411474
-0.8064,0.7096,47.6783184,26.97037128
-0.8064,0.742,47.59208904,24.45360848
-0.8064,0.7742,47.49911154,21.9148975
-0.8064,0.8064,47.39887616,19.3388188
-0.8064,0.8388,47.29069256,16.70902304
-0.8064,0.871,47.17589634,14.05797682
-0.8064,0.9032,47.05384224,11.36956288
-0.8064,0.9354,46.92453026,8.643781231
-0.8064,0.9678,46.78708946,5.863352681
-0.8064,1,46.64321664,3.062603507
-0.7742,-1,42.07955026,106.2876793
-0.7742,-0.9678,42.37610904,105.7828561
-0.7742,-0.9354,42.66718416,105.2371807
-0.7742,-0.9032,42.9491821,104.65739
-0.7742,-0.871,43.22392216,104.0402315
-0.7742,-0.8388,43.49140434,103.3857053
-0.7742,-0.8064,43.75322226,102.6893972
-0.7742,-0.7742,44.0061436,101.9599035
-0.7742,-0.742,44.25180706,101.1930421
-0.7742,-0.7096,44.49167074,100.3837009
-0.7742,-0.6774,44.72277336,99.541872
-0.7742,-0.6452,44.9466181,98.66267534
-0.7742,-0.613,45.16320496,97.74611097
-0.7742,-0.5806,45.37381144,96.78613708
-0.7742,-0.5484,45.57583746,95.79460518
-0.7742,-0.5162,45.7706056,94.76570557
-0.7742,-0.4838,45.95925784,93.6926987
-0.7742,-0.4516,46.13946514,92.58883157
-0.7742,-0.4194,46.31241456,91.44759672
-0.7742,-0.387,46.47911256,90.26155688
-0.7742,-0.3548,46.63750114,89.0453545
-0.7742,-0.3226,46.78863184,87.79178442
-0.7742,-0.2904,46.93250466,86.50084662
-0.7742,-0.258,47.06994546,85.16417399
-0.7742,-0.2258,47.19925744,83.79826867
-0.7742,-0.1936,47.32131154,82.39499563
-0.7742,-0.1612,47.4367981,80.94529003
-0.7742,-0.129,47.54429136,79.46704947
-0.7742,-0.0968,47.64452674,77.95144119
-0.7742,-0.0646,47.73750424,76.3984652
-0.7742,-0.0322,47.8237336,74.79812682
-0.7742,0,47.90215026,73.1701833
-0.7742,0.0322,47.97330904,71.50487208
-0.7742,0.0646,48.03758416,69.79150072
-0.7742,0.0968,48.0941821,68.05122197
-0.7742,0.129,48.14352216,66.2735755
-0.7742,0.1612,48.18560434,64.45856132
-0.7742,0.1936,48.22062226,62.59455718
-0.7742,0.2258,48.2481436,60.70457548
-0.7742,0.258,48.26840706,58.77722606
-0.7742,0.2904,48.28147074,56.80018894
-0.7742,0.3226,48.28717336,54.797872
-0.7742,0.3548,48.2856181,52.75818734
-0.7742,0.387,48.27680496,50.68113497
-0.7742,0.4194,48.26061144,48.55346508
-0.7742,0.4516,48.23723746,46.40144518
-0.7742,0.4838,48.2066056,44.21205757
-0.7742,0.5162,48.16845784,41.9713547
-0.7742,0.5484,48.12326514,39.70699957
-0.7742,0.5806,48.07081456,37.40527672
-0.7742,0.613,48.01071256,35.05154088
-0.7742,0.6452,47.94370114,32.6748505
-0.7742,0.6774,47.86943184,30.26079242
-0.7742,0.7096,47.78790466,27.80936662
-0.7742,0.742,47.69854546,25.30499799
-0.7742,0.7742,47.60245744,22.77860467
-0.7742,0.8064,47.49911154,20.21484363
-0.7742,0.8388,47.3877981,17.59744203
-0.7742,0.871,47.26989136,14.95871347
-0.7742,0.9032,47.14472674,12.28261719
-0.7742,0.9354,47.01230424,9.569153203
-0.7742,0.9678,46.8717336,6.801118819
-0.7742,1,46.72475026,4.012687305
-0.742,-1,42.347026,106.4681705
-0.742,-0.9678,42.64047426,105.9756649
-0.742,-0.9354,42.92841954,105.4423837
